Date,Name,Year,Letterboxd URI,Rating
2024-10-22,Dune,2021,https://boxd.it/fA7G,3
2024-10-22,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-10-22,Bullet Train,2022,https://boxd.it/qW26,4.5
2024-10-22,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2024-10-22,Whiplash,2014,https://boxd.it/7bQA,4.5
2024-10-22,Oppenheimer,2023,https://boxd.it/wUow,5
2024-10-22,Interstellar,2014,https://boxd.it/4VZ8,5
2024-10-22,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-10-22,The Intern,2015,https://boxd.it/7AOE,4
2024-10-22,The Hunger Games,2012,https://boxd.it/2uds,4
2024-10-22,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,5
2024-10-22,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2024-10-22,The Banker,2020,https://boxd.it/nfyC,4
2024-10-22,The Truman Show,1998,https://boxd.it/18U8,4.5
2024-10-22,American Psycho,2000,https://boxd.it/28Vs,4
2024-10-22,John Wick,2014,https://boxd.it/7dEc,4
2024-10-22,Tangled,2010,https://boxd.it/15gO,4
2024-10-22,Megamind,2010,https://boxd.it/16Sk,5
2024-10-22,Divergent,2014,https://boxd.it/4VT0,1
2024-10-22,La La Land,2016,https://boxd.it/a5fa,5
2024-10-22,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2024-10-22,The Imitation Game,2014,https://boxd.it/6aig,4.5
2024-10-22,Saltburn,2023,https://boxd.it/z4eg,2
2024-10-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2024-10-22,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2024-10-22,Coraline,2009,https://boxd.it/1NhQ,4.5
2024-10-22,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2024-10-22,Don't Look Up,2021,https://boxd.it/o0Hc,3
2024-10-22,Logan,2017,https://boxd.it/7Piy,4.5
2024-10-22,Moana,2016,https://boxd.it/8tfY,4.5
2024-10-22,Coco,2017,https://boxd.it/bYJQ,4
2024-10-22,The Incredibles,2004,https://boxd.it/1XLm,5
2024-10-22,The Queen's Gambit,2020,https://boxd.it/s1Ym,4
2024-10-22,Edge of Tomorrow,2014,https://boxd.it/4pD0,3.5
2024-10-22,Hacksaw Ridge,2016,https://boxd.it/azew,4.5
2024-10-22,The Flash,2023,https://boxd.it/9twC,3.5
2024-10-22,Cars,2006,https://boxd.it/29ho,5
2024-10-22,Cars 2,2011,https://boxd.it/H4Y,4
2024-10-22,Kung Fu Panda 2,2011,https://boxd.it/G36,5
2024-10-22,Watchmen,2009,https://boxd.it/1QE4,4.5
2024-10-22,Jurassic Park,1993,https://boxd.it/2aA2,5
2024-10-22,TRON: Legacy,2010,https://boxd.it/1Dlo,3
2024-10-22,The Room,2003,https://boxd.it/1ICY,5
2024-10-22,Mulan,1998,https://boxd.it/1VFw,4.5
2024-11-22,The Invention of Lying,2009,https://boxd.it/1zGs,3
2024-11-22,It's What's Inside,2024,https://boxd.it/DOV4,2
2024-12-01,Gladiator II,2024,https://boxd.it/kqQQ,3
2024-12-28,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3.5
2024-12-28,Spirited Away,2001,https://boxd.it/2b4m,4
2024-12-28,Good Will Hunting,1997,https://boxd.it/2ahY,5
2024-12-28,Mean Girls,2004,https://boxd.it/1VNg,3.5
2024-12-28,The Revenant,2015,https://boxd.it/8H5e,3
2024-12-28,A Star Is Born,2018,https://boxd.it/aXgc,4
2024-12-28,Monsters University,2013,https://boxd.it/bQm,3.5
2024-12-28,WandaVision,2021,https://boxd.it/sbGW,4
2024-12-28,The Theory of Everything,2014,https://boxd.it/7YtA,3.5
2024-12-28,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,4
2024-12-28,Cars 3,2017,https://boxd.it/7IPq,4
2025-01-05,The Menu,2022,https://boxd.it/lScm,4.5
2025-01-05,Knives Out,2019,https://boxd.it/jWEA,4
2025-01-05,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2025-01-06,Inception,2010,https://boxd.it/1skk,3
2025-01-10,Maestro,2023,https://boxd.it/j0DE,1.5
2025-01-10,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4
2025-01-10,Barbie,2023,https://boxd.it/bCLK,3.5
2025-02-28,12 Angry Men,1957,https://boxd.it/2auI,5
2025-02-28,Glass Onion,2022,https://boxd.it/oCkK,4
2025-04-18,Legally Blonde,2001,https://boxd.it/1ZNa,3.5
2025-04-29,A Silent Voice: The Movie,2016,https://boxd.it/d99c,4
2025-04-29,Your Name.,2016,https://boxd.it/cUqs,4
2025-04-29,Ponyo,2008,https://boxd.it/1S0A,5
2025-05-11,Dead Poets Society,1989,https://boxd.it/2aSg,5
2025-07-01,Sinners,2025,https://boxd.it/KQMM,3
2025-07-21,Superman,2025,https://boxd.it/E9IU,4.5
2025-07-24,Thunderbolts*,2025,https://boxd.it/BfbQ,4
2025-07-26,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,4
2025-09-08,KPop Demon Hunters,2025,https://boxd.it/ufwK,3
2025-09-08,Starship Troopers,1997,https://boxd.it/2a7k,4
2025-09-08,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2025-10-13,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2026-01-16,F1,2025,https://boxd.it/yjVM,3
2026-01-16,The Green Mile,1999,https://boxd.it/2agG,4.5
2026-01-18,GoodFellas,1990,https://boxd.it/29FA,4.5
2026-01-19,Zootopia 2,2025,https://boxd.it/F0vO,4.5
2026-01-25,The Martian,2015,https://boxd.it/8SeG,4
2026-01-26,Little Women,2019,https://boxd.it/aSVk,4
2026-03-13,Madagascar,2005,https://boxd.it/29dc,3.5
2026-04-30,A Minecraft Movie,2025,https://boxd.it/zRro,3.5
2026-05-30,Wake Up Dead Man,2025,https://boxd.it/uAKS,5
2026-07-08,Obsession,2025,https://boxd.it/PNqo,4.5
2026-07-09,The Sheep Detectives,2026,https://boxd.it/NDSe,3.5
